index,English,Korean
0,The Eiffel Tower,에펠탑
1,The Great Wall of China,만리장성
2,The Mona Lisa,모나리자
3,aircraft carrier,항공모함
4,airplane,비행기
5,alarm clock,알람 시계
6,ambulance,구급차
7,angel,천사
8,animal migration,동물의 이동
9,ant,개미
10,anvil,모루
11,apple,사과
12,arm,팔
13,asparagus,아스파라거스
14,axe,도끼
15,backpack,배낭
16,banana,바나나
17,bandage,반창고
18,barn,헛간
19,baseball,야구
20,baseball bat,야구 방망이
21,basket,바구니
22,basketball,농구
23,bat,박쥐
24,bathtub,욕조
25,beach,해변
26,bear,곰
27,beard,수염
28,bed,침대
29,bee,벌
30,belt,벨트
31,bench,벤치
32,bicycle,자전거
33,binoculars,쌍안경
34,bird,새
35,birthday cake,생일 케이크
36,blackberry,블랙베리
37,blueberry,블루베리
38,book,책
39,boomerang,부메랑
40,bottlecap,뚜껑
41,bowtie,보타이
42,bracelet,팔찌
43,brain,뇌
44,bread,빵
45,bridge,다리
46,broccoli,브로콜리
47,broom,빗자루
48,bucket,양동이
49,bulldozer,불도저
50,bus,버스
51,bush,수풀
52,butterfly,나비
53,cactus,선인장
54,cake,케이크
55,calculator,계산기
56,calendar,달력
57,camel,낙타
58,camera,카메라
59,camouflage,위장
60,campfire,모닥불
61,candle,촛불
62,cannon,대포
63,canoe,카누
64,car,자동차
65,carrot,당근
66,castle,성
67,cat,고양이
68,ceiling fan,천장 선풍기
69,cell phone,휴대폰
70,cello,첼로
71,chair,의자
72,chandelier,샹들리에
73,church,교회
74,circle,원
75,clarinet,클라리넷
76,clock,시계
77,cloud,구름
78,coffee cup,커피 컵
79,compass,나침반
80,computer,컴퓨터
81,cookie,쿠키
82,cooler,쿨러
83,couch,소파
84,cow,소
85,crab,게
86,crayon,크레용
87,crocodile,악어
88,crown,왕관
89,cruise ship,크루즈선
90,cup,컵
91,diamond,다이아몬드
92,dishwasher,식기세척기
93,diving board,다이빙대
94,dog,개
95,dolphin,돌고래
96,donut,도넛
97,door,문
98,dragon,용
99,dresser,옷장
100,drill,드릴
101,drums,북
102,duck,오리
103,dumbbell,아령
104,ear,귀
105,elbow,팔꿈치
106,elephant,코끼리
107,envelope,봉투
108,eraser,지우개
109,eye,눈
110,eyeglasses,안경
111,face,얼굴
112,fan,선풍기
113,feather,깃털
114,fence,울타리
115,finger,손가락
116,fire hydrant,소화전
117,fireplace,벽난로
118,firetruck,소방차
119,fish,물고기
120,flamingo,홍학
121,flashlight,손전등
122,flip flops,슬리퍼
123,floor lamp,스탠드
124,flower,꽃
125,flying saucer,비행접시
126,foot,발
127,fork,포크
128,frog,개구리
129,frying pan,프라이팬
130,garden,정원
131,garden hose,호스
132,giraffe,기린
133,goatee,수염
134,golf club,골프채
135,grapes,포도
136,grass,풀
137,guitar,기타
138,hamburger,햄버거
